+-----+-------+------+-------+
| qid | docno | rank | score |
+-----+-------+------+-------+
|  1  |  57   |  1   | 0.232 |
|  1  |  87   |  2   | 0.205 |
|  1  |  89   |  3   | 0.199 |
|  1  |  93   |  4   | 0.175 |
|  1  |  97   |  5   | 0.108 |
|  1  |  51   |  6   | 0.108 |
|  1  |  96   |  7   | 0.097 |
|  1  |  27   |  8   |  0.0  |
|  1  |  47   |  9   |  0.0  |
|  1  |  63   |  10  |  0.0  |
|  1  |  76   |  11  |  0.0  |
|  1  |  52   |  12  |  0.0  |
|  1  |  48   |  13  |  0.0  |
|  1  |  39   |  14  |  0.0  |
|  1  |  73   |  15  |  0.0  |
|  1  |  59   |  16  |  0.0  |
|  1  |  64   |  17  |  0.0  |
|  1  |  79   |  18  |  0.0  |
|  1  |  23   |  19  |  0.0  |
|  1  |  32   |  20  |  0.0  |
|  1  |  62   |  21  |  0.0  |
|  1  |  60   |  22  |  0.0  |
|  1  |  82   |  23  |  0.0  |
|  1  |  17   |  24  |  0.0  |
|  1  |  20   |  25  |  0.0  |
|  1  |  35   |  26  |  0.0  |
|  1  |  77   |  27  |  0.0  |
|  1  |  16   |  28  |  0.0  |
|  1  |  28   |  29  |  0.0  |
|  1  |  44   |  30  |  0.0  |
|  1  |  84   |  31  |  0.0  |
|  1  |  74   |  32  |  0.0  |
|  1  |  50   |  33  |  0.0  |
|  1  |  53   |  34  |  0.0  |
|  1  |  81   |  35  |  0.0  |
|  1  |   1   |  36  |  0.0  |
|  1  |  34   |  37  |  0.0  |
|  2  |  36   |  1   | 0.258 |
|  2  |  91   |  2   | 0.214 |
|  2  |  89   |  3   | 0.199 |
|  2  |  66   |  4   |  0.0  |
|  2  |  47   |  5   |  0.0  |
|  2  |  27   |  6   |  0.0  |
|  2  |  53   |  7   |  0.0  |
|  2  |  62   |  8   |  0.0  |
|  2  |  14   |  9   |  0.0  |
|  2  |  39   |  10  |  0.0  |
|  2  |  81   |  11  |  0.0  |
|  2  |  72   |  12  |  0.0  |
|  2  |  42   |  13  |  0.0  |
|  2  |  29   |  14  |  0.0  |
|  2  |  40   |  15  |  0.0  |
|  2  |   6   |  16  |  0.0  |
|  2  |  20   |  17  |  0.0  |
|  2  |  28   |  18  |  0.0  |
|  2  |  71   |  19  |  0.0  |
|  2  |  25   |  20  |  0.0  |
|  2  |  41   |  21  |  0.0  |
|  2  |   1   |  22  |  0.0  |
|  2  |  52   |  23  |  0.0  |
|  3  |  36   |  1   | 0.258 |
|  3  |  57   |  2   | 0.232 |
|  3  |  94   |  3   | 0.136 |
|  3  |  95   |  4   | 0.101 |
|  3  |  46   |  5   |  0.0  |
|  3  |   9   |  6   |  0.0  |
|  3  |  56   |  7   |  0.0  |
|  3  |  52   |  8   |  0.0  |
|  3  |  26   |  9   |  0.0  |
