+-----+-------+------+-------+
| qid | docno | rank | score |
+-----+-------+------+-------+
|  1  |  47   |  1   | 0.583 |
|  1  |   8   |  2   | 0.532 |
|  1  |  53   |  3   | 0.397 |
|  1  |  48   |  4   |  0.0  |
|  1  |  38   |  5   |  0.0  |
|  1  |  32   |  6   |  0.0  |
|  1  |  27   |  7   |  0.0  |
|  1  |  33   |  8   |  0.0  |
|  1  |  23   |  9   |  0.0  |
|  1  |   5   |  10  |  0.0  |
|  1  |  16   |  11  |  0.0  |
|  1  |  64   |  12  |  0.0  |
|  1  |  52   |  13  |  0.0  |
|  1  |  34   |  14  |  0.0  |
|  1  |  51   |  15  |  0.0  |
|  1  |  59   |  16  |  0.0  |
|  1  |  40   |  17  |  0.0  |
|  1  |  50   |  18  |  0.0  |
|  1  |  44   |  19  |  0.0  |
|  1  |  39   |  20  |  0.0  |
|  2  |   9   |  1   | 0.503 |
|  2  |  10   |  2   | 0.401 |
|  2  |   7   |  3   | 0.332 |
|  2  |  55   |  4   | 0.324 |
|  2  |  14   |  5   |  0.0  |
|  2  |  50   |  6   |  0.0  |
|  2  |  66   |  7   |  0.0  |
|  2  |  38   |  8   |  0.0  |
|  2  |  58   |  9   |  0.0  |
|  2  |  39   |  10  |  0.0  |
|  2  |  44   |  11  |  0.0  |
|  2  |  37   |  12  |  0.0  |
|  2  |  30   |  13  |  0.0  |
|  2  |   6   |  14  |  0.0  |
|  2  |  51   |  15  |  0.0  |
|  2  |   1   |  16  |  0.0  |
|  2  |   3   |  17  |  0.0  |
|  2  |  36   |  18  |  0.0  |
|  2  |  41   |  19  |  0.0  |
|  2  |  22   |  20  |  0.0  |
|  2  |  29   |  21  |  0.0  |
|  2  |  17   |  22  |  0.0  |
|  3  |  53   |  1   | 0.397 |
|  3  |  35   |  2   | 0.278 |
|  3  |  21   |  3   |  0.0  |
|  3  |  63   |  4   |  0.0  |
|  3  |  17   |  5   |  0.0  |
|  3  |  12   |  6   |  0.0  |
|  3  |  23   |  7   |  0.0  |
|  3  |  66   |  8   |  0.0  |
|  3  |   3   |  9   |  0.0  |
|  3  |  29   |  10  |  0.0  |
|  3  |  57   |  11  |  0.0  |
|  3  |  51   |  12  |  0.0  |
|  3  |  37   |  13  |  0.0  |
|  3  |  34   |  14  |  0.0  |
|  3  |   5   |  15  |  0.0  |
|  3  |  62   |  16  |  0.0  |
|  3  |  44   |  17  |  0.0  |
|  3  |  15   |  18  |  0.0  |
|  3  |  54   |  19  |  0.0  |
+-----+-------+------+-------+
